#Version: 
#Glossary type: Fossil
#Source: treatise_gloss (merged from: treatise_o, treati)
#Finalized by: Fengqiong Huang
#Date: 
#Reviewers: treatise  ,Dr. Hong Cui,Mohan Krishna Gowda,Fengqiong Huang,Sonali Ranade
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID"
"sized","size","0","treatise_gloss","5d5675b4-f86d-11e2-af0f-00266c1d496f"
"small","size","0","treatise_gloss","5d5677d8-f86d-11e2-af0f-00266c1d496f"
"long","length","0","treatise_gloss","5d57795c-f86d-11e2-af0f-00266c1d496f"
"bent","shape","0","treatise_gloss","5d577a21-f86d-11e2-af0f-00266c1d496f"
"curved","shape","0","treatise_gloss","5d577abf-f86d-11e2-af0f-00266c1d496f"
"concave","shape","0","treatise_gloss","5d577b5d-f86d-11e2-af0f-00266c1d496f"
"sigmoidal","shape","0","treatise_gloss","5d577bf7-f86d-11e2-af0f-00266c1d496f"
"shaped","shape","0","treatise_gloss","5d577c80-f86d-11e2-af0f-00266c1d496f"
"bending","shape","0","treatise_gloss","5d577d09-f86d-11e2-af0f-00266c1d496f"
"medium","size","0","treatise_gloss","5d577d8d-f86d-11e2-af0f-00266c1d496f"
"marginal","position","0","treatise_gloss","5d577e1f-f86d-11e2-af0f-00266c1d496f"
"semicircular","shape","0","treatise_gloss","5d577eb0-f86d-11e2-af0f-00266c1d496f"
"short","length","0","treatise_gloss","5d577f30-f86d-11e2-af0f-00266c1d496f"
"one","count","0","treatise_gloss","5d577fb9-f86d-11e2-af0f-00266c1d496f"
"anterior","position","0","treatise_gloss","5d578046-f86d-11e2-af0f-00266c1d496f"
"anterolateral","position","0","treatise_gloss","5d5780cb-f86d-11e2-af0f-00266c1d496f"
"subtriangular","shape","0","treatise_gloss","5d578154-f86d-11e2-af0f-00266c1d496f"
"subcircular","shape","0","treatise_gloss","5d5781d8-f86d-11e2-af0f-00266c1d496f"
"tapering","shape","0","treatise_gloss","5d578265-f86d-11e2-af0f-00266c1d496f"
"expanding","size","0","treatise_gloss","5d578319-f86d-11e2-af0f-00266c1d496f"
"conical","shape","0","treatise_gloss","5d5783af-f86d-11e2-af0f-00266c1d496f"
"bispinose","shape","0","treatise_gloss","5d57843c-f86d-11e2-af0f-00266c1d496f"
"dorsal","position","0","treatise_gloss","5d5784bc-f86d-11e2-af0f-00266c1d496f"
"posterior","position","0","treatise_gloss","5d578545-f86d-11e2-af0f-00266c1d496f"
"rear","position","0","treatise_gloss","5d5785ca-f86d-11e2-af0f-00266c1d496f"
"occipital","position","0","treatise_gloss","5d578652-f86d-11e2-af0f-00266c1d496f"
"angulate","shape","0","treatise_gloss","5d5786d7-f86d-11e2-af0f-00266c1d496f"
"basic","prominence","0","treatise_gloss","5d578757-f86d-11e2-af0f-00266c1d496f"
"large","size","0","treatise_gloss","5d5787e0-f86d-11e2-af0f-00266c1d496f"
"distal","position","0","treatise_gloss","5d578865-f86d-11e2-af0f-00266c1d496f"
"shortened","size","0","treatise_gloss","5d5788e9-f86d-11e2-af0f-00266c1d496f"
"subquadrate","shape","0","treatise_gloss","5d578972-f86d-11e2-af0f-00266c1d496f"
"arcuate","shape","0","treatise_gloss","5d5789f7-f86d-11e2-af0f-00266c1d496f"
"cylindrical","shape","0","treatise_gloss","5d578a7f-f86d-11e2-af0f-00266c1d496f"
"transverse","orientation","0","treatise_gloss","5d578b0d-f86d-11e2-af0f-00266c1d496f"
"basal","position","0","treatise_gloss","5d578b95-f86d-11e2-af0f-00266c1d496f"
"third","count","0","treatise_gloss","5d578c1e-f86d-11e2-af0f-00266c1d496f"
"fourth","count","0","treatise_gloss","5d578ca7-f86d-11e2-af0f-00266c1d496f"
"ovate","shape","0","treatise_gloss","5d578d2c-f86d-11e2-af0f-00266c1d496f"
"terminal","position","0","treatise_gloss","5d578db0-f86d-11e2-af0f-00266c1d496f"
"front","position","0","treatise_gloss","5d578e35-f86d-11e2-af0f-00266c1d496f"
"postaxial","position","0","treatise_gloss","5d578ec2-f86d-11e2-af0f-00266c1d496f"
"rostral","position","0","treatise_gloss","5d578f46-f86d-11e2-af0f-00266c1d496f"
"semielliptical","shape","0","treatise_gloss","5d578fcf-f86d-11e2-af0f-00266c1d496f"
"falcate","shape","0","treatise_gloss","5d579054-f86d-11e2-af0f-00266c1d496f"
"simplimarginate","shape","0","treatise_gloss","5d5790dd-f86d-11e2-af0f-00266c1d496f"
"spectaculate","shape","0","treatise_gloss","5d5792f8-f86d-11e2-af0f-00266c1d496f"
"hindmost","position","0","treatise_gloss","5d579396-f86d-11e2-af0f-00266c1d496f"
"ornament","structure","0","treatise_gloss","5d57942b-f86d-11e2-af0f-00266c1d496f"
"subrounded","shape","0","treatise_gloss","5d5794b9-f86d-11e2-af0f-00266c1d496f"
"undivided","fusion","0","treatise_gloss","5d57954a-f86d-11e2-af0f-00266c1d496f"
"backswept","orientation","0","treatise_gloss","5d5795cf-f86d-11e2-af0f-00266c1d496f"
"downsloping","orientation","0","treatise_gloss","5d579657-f86d-11e2-af0f-00266c1d496f"
"hexagonal","shape","0","treatise_gloss","5d5796e0-f86d-11e2-af0f-00266c1d496f"
"angularity","orientation","0","treatise_gloss","5d579765-f86d-11e2-af0f-00266c1d496f"
