#Version: 0.1,,,,
#Glossary type: Hymenoptera,,,,
#Source: ant_gloss_20130517080844,,,,
#Finalized by: Hong Cui,,,,
#Date: 9/20/2013,,,,
#Reviewers: Hong Cui,Sonali Ranade,,,
#Source producer: OTO System,,,,
,,,,
term,category,hasSyn,sourceDataset,termID
absence,character,0,ant_gloss_20130517080844,149aee8c-21de-11e3-a402-0026b9326338
abundance,density,1,ant_gloss_20130517080844,149af0ee-21de-11e3-a402-0026b9326338
acute_angular,shape,1,ant_gloss_20130517080844,149af1d4-21de-11e3-a402-0026b9326338
aedeagalvolsellar,structure,1,ant_gloss_20130517080844,149af38c-21de-11e3-a402-0026b9326338
align,arrangement,1,ant_gloss_20130517080844,149af45e-21de-11e3-a402-0026b9326338
alitrunk,structure,1,ant_gloss_20130517080844,149af530-21de-11e3-a402-0026b9326338
analfin,structure,1,ant_gloss_20130517080844,149af5f8-21de-11e3-a402-0026b9326338
angle,structure,1,ant_gloss_20130517080844,149affa8-21de-11e3-a402-0026b9326338
angle_like,shape,1,ant_gloss_20130517080844,149b0098-21de-11e3-a402-0026b9326338
antenna,structure,1,ant_gloss_20130517080844,149b016a-21de-11e3-a402-0026b9326338
anterio_basal,position,1,ant_gloss_20130517080844,149b023c-21de-11e3-a402-0026b9326338
anterior_ventral,position,1,ant_gloss_20130517080844,149b030e-21de-11e3-a402-0026b9326338
anterodorsal,position,1,ant_gloss_20130517080844,149b03d6-21de-11e3-a402-0026b9326338
anteroinferior,position,1,ant_gloss_20130517080844,149b049e-21de-11e3-a402-0026b9326338
apex,structure,1,ant_gloss_20130517080844,149b055c-21de-11e3-a402-0026b9326338
apical,position,0,ant_gloss_20130517080844,149b0624-21de-11e3-a402-0026b9326338
appendage,structure,1,ant_gloss_20130517080844,149b06ec-21de-11e3-a402-0026b9326338
arc,shape,1,ant_gloss_20130517080844,149b07aa-21de-11e3-a402-0026b9326338
arcuate,shape,1,ant_gloss_20130517080844,149b0868-21de-11e3-a402-0026b9326338
area,structure,1,ant_gloss_20130517080844,149b0930-21de-11e3-a402-0026b9326338
arranged,arrangement,0,ant_gloss_20130517080844,149b09f8-21de-11e3-a402-0026b9326338
articulate,architecture,1,ant_gloss_20130517080844,149b0ab6-21de-11e3-a402-0026b9326338
attenuate,shape,1,ant_gloss_20130517080844,149b0b74-21de-11e3-a402-0026b9326338
band,structure,1,ant_gloss_20130517080844,149b0cfa-21de-11e3-a402-0026b9326338
base,structure,1,ant_gloss_20130517080844,149b0db8-21de-11e3-a402-0026b9326338
bend,shape,1,ant_gloss_20130517080844,149b0e80-21de-11e3-a402-0026b9326338
bicolored,coloration,1,ant_gloss_20130517080844,149b0f3e-21de-11e3-a402-0026b9326338
bifurcates,architecture,1,ant_gloss_20130517080844,149b1006-21de-11e3-a402-0026b9326338
big,size,1,ant_gloss_20130517080844,149b10c4-21de-11e3-a402-0026b9326338
bilobate,shape,1,ant_gloss_20130517080844,149b1182-21de-11e3-a402-0026b9326338
bisected,shape,1,ant_gloss_20130517080844,149b124a-21de-11e3-a402-0026b9326338
black,coloration,1,ant_gloss_20130517080844,149b1308-21de-11e3-a402-0026b9326338
bladelike,shape,1,ant_gloss_20130517080844,149b13d0-21de-11e3-a402-0026b9326338
blotch,structure,1,ant_gloss_20130517080844,149b1786-21de-11e3-a402-0026b9326338
blue,coloration,1,ant_gloss_20130517080844,149b1862-21de-11e3-a402-0026b9326338
bluish_green,coloration,1,ant_gloss_20130517080844,149b193e-21de-11e3-a402-0026b9326338
blunt,shape,1,ant_gloss_20130517080844,149b1a10-21de-11e3-a402-0026b9326338
border,structure,1,ant_gloss_20130517080844,149b1ae2-21de-11e3-a402-0026b9326338
bordered,size,0,ant_gloss_20130517080844,149b1baa-21de-11e3-a402-0026b9326338
box_shaped,shape,1,ant_gloss_20130517080844,149b1c68-21de-11e3-a402-0026b9326338
branched,architecture,1,ant_gloss_20130517080844,149b1ede-21de-11e3-a402-0026b9326338
bright,reflectance,1,ant_gloss_20130517080844,149b1fa6-21de-11e3-a402-0026b9326338
broadened,size,1,ant_gloss_20130517080844,149b206e-21de-11e3-a402-0026b9326338
brown,coloration,1,ant_gloss_20130517080844,149b2136-21de-11e3-a402-0026b9326338
