#Version: 0.1
#Glossary type: Spider
#Source: Spider Ontology
#Finalized by: Dongfang Xu
#Date: 05-30-15
#Reviewers: Dongfang Xu, Hong Cui
#Source producer: 

"term","category","hasSyn","sourceDataset","termID"
"flanking_spigots_of_triad","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000512"
"radix","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000523"
"lorum_2","structure","1","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000501"
"tarsus_1","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000088"
"retrocoxal_hymen","structure","1","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000570"
"tenent_barb_of_scopular_seta","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000221"
"base_of_paracribellar_gland_spigot_of_posterior_lateral_spinneret","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000210"
"opisthosomal_endosternite_5","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000602"
"hemolymph_lacunar_system","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000613"
"alveolus_promargin","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000165"
"embolus","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000176"
"cheliceral_gland","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000187"
"retrolateral_cymbial_groove","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000536"
"trochanter_eclosion_tooth","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000325"
"male_genitalia","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000593"
"pedicel_slit_sensillum","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000580"
"booklung_atrium","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000431"
