#Version: 
#Glossary type: Plant
#Source: cycad_20131031153054
#Finalized by: Jing Liu
#Date: 
#Reviewers: Hong Cui,Lorena  Endara
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID"
"acumen","structure","0","cycad_20131031153054","85155e7c-47c7-11e3-a402-0026b9326338"
"bases","structure","0","cycad_20131031153054","147eff9e-47c5-11e3-a402-0026b9326338"
"branches","structure","0","cycad_20131031153054","147f3996-47c5-11e3-a402-0026b9326338"
"bump","structure","0","cycad_20131031153054","85159810-47c7-11e3-a402-0026b9326338"
"callosity","structure","0","cycad_20131031153054","8515d9a6-47c7-11e3-a402-0026b9326338"
"cataphyll","structure","0","cycad_20131031153054","147f79f6-47c5-11e3-a402-0026b9326338"
"cataphylls","structure","0","cycad_20131031153054","147fb6aa-47c5-11e3-a402-0026b9326338"
"cells","structure","0","cycad_20131031153054","147fe7c4-47c5-11e3-a402-0026b9326338"
"center","structure","0","cycad_20131031153054","85161cb8-47c7-11e3-a402-0026b9326338"
"cones","structure","0","cycad_20131031153054","14801924-47c5-11e3-a402-0026b9326338"
"cotyledons","structure","0","cycad_20131031153054","148055b0-47c5-11e3-a402-0026b9326338"
"crown","structure","0","cycad_20131031153054","1480871a-47c5-11e3-a402-0026b9326338"
"cryptocotular","structure","0","cycad_20131031153054","85166fc4-47c7-11e3-a402-0026b9326338"
"cryptocotylar","structure","0","cycad_20131031153054","8516b72c-47c7-11e3-a402-0026b9326338"
"edges","structure","0","cycad_20131031153054","1480bb5e-47c5-11e3-a402-0026b9326338"
"endotesta","structure","0","cycad_20131031153054","8516f7b4-47c7-11e3-a402-0026b9326338"
"ends","structure","0","cycad_20131031153054","1480ec1e-47c5-11e3-a402-0026b9326338"
"facet","structure","0","cycad_20131031153054","85172f54-47c7-11e3-a402-0026b9326338"
"facets","structure","0","cycad_20131031153054","8517683e-47c7-11e3-a402-0026b9326338"
"fawn","structure","0","cycad_20131031153054","85179d7c-47c7-11e3-a402-0026b9326338"
"hairs","structure","0","cycad_20131031153054","14818dcc-47c5-11e3-a402-0026b9326338"
