#Version: 
#Glossary type: Plant
#Source: fern_20131017110759
#Finalized by: Jing Liu
#Date: 
#Reviewers: Hong Cui,Lorena  Endara
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID"
"endemic","location","0","fern_20131017110759","16f70ec2-47c7-11e3-a402-0026b9326338"
"north_eastern","location","0","fern_20131017110759","16f75936-47c7-11e3-a402-0026b9326338"
"south_eastern","location","0","fern_20131017110759","16f7a58a-47c7-11e3-a402-0026b9326338"
"central","location","0","fern_20131017110759","16f7de24-47c7-11e3-a402-0026b9326338"
"south_western","location","0","fern_20131017110759","16f826f4-47c7-11e3-a402-0026b9326338"
"western","location","0","fern_20131017110759","16f85de0-47c7-11e3-a402-0026b9326338"
"acrophylls","structure","0","fern_20131017110759","16f89d82-47c7-11e3-a402-0026b9326338"
"aerophores","structure","0","fern_20131017110759","16f8dcfc-47c7-11e3-a402-0026b9326338"
"areoles","structure","0","fern_20131017110759","16f913b6-47c7-11e3-a402-0026b9326338"
"bases","structure","0","fern_20131017110759","147eff9e-47c5-11e3-a402-0026b9326338"
"bathyphylls","structure","0","fern_20131017110759","16f9592a-47c7-11e3-a402-0026b9326338"
"blades","structure","0","fern_20131017110759","16f98e86-47c7-11e3-a402-0026b9326338"
"body","structure","0","fern_20131017110759","16f9bec4-47c7-11e3-a402-0026b9326338"
"brachyblasts","structure","0","fern_20131017110759","16fa03c0-47c7-11e3-a402-0026b9326338"
"branches","structure","0","fern_20131017110759","147f3996-47c5-11e3-a402-0026b9326338"
"bristles","structure","0","fern_20131017110759","16fa4038-47c7-11e3-a402-0026b9326338"
"buds","structure","0","fern_20131017110759","16fa7058-47c7-11e3-a402-0026b9326338"
"bulbils","structure","0","fern_20131017110759","16faa762-47c7-11e3-a402-0026b9326338"
"bundles","structure","0","fern_20131017110759","16fade58-47c7-11e3-a402-0026b9326338"
"cells","structure","0","fern_20131017110759","147fe7c4-47c5-11e3-a402-0026b9326338"
"channels","structure","0","fern_20131017110759","16fb1b3e-47c7-11e3-a402-0026b9326338"
"cheilanthes","structure","0","fern_20131017110759","16fb5dec-47c7-11e3-a402-0026b9326338"
"chlorophyll","structure","0","fern_20131017110759","16fba086-47c7-11e3-a402-0026b9326338"
"chromosome","structure","0","fern_20131017110759","16fbe050-47c7-11e3-a402-0026b9326338"
"conceptacles","structure","0","fern_20131017110759","16fc25e2-47c7-11e3-a402-0026b9326338"
"costules","structure","0","fern_20131017110759","16fc5f58-47c7-11e3-a402-0026b9326338"
"crenature","structure","0","fern_20131017110759","16fc9cd4-47c7-11e3-a402-0026b9326338"
"crests","structure","0","fern_20131017110759","16fcd26c-47c7-11e3-a402-0026b9326338"
"depressions","structure","0","fern_20131017110759","16fd14c0-47c7-11e3-a402-0026b9326338"
"divisions","structure","0","fern_20131017110759","16fd50ac-47c7-11e3-a402-0026b9326338"
"edge","structure","0","fern_20131017110759","16fd8180-47c7-11e3-a402-0026b9326338"
"edges","structure","0","fern_20131017110759","1480bb5e-47c5-11e3-a402-0026b9326338"
"ending","structure","0","fern_20131017110759","16fdba1a-47c7-11e3-a402-0026b9326338"
"endings","structure","0","fern_20131017110759","16fdf1e2-47c7-11e3-a402-0026b9326338"
"envelope","structure","0","fern_20131017110759","16fe2b3a-47c7-11e3-a402-0026b9326338"
"epiphytes","structure","0","fern_20131017110759","16fe6712-47c7-11e3-a402-0026b9326338"
"exine","structure","0","fern_20131017110759","16fe9994-47c7-11e3-a402-0026b9326338"
"exospore","structure","0","fern_20131017110759","16fed328-47c7-11e3-a402-0026b9326338"
"exospores","structure","0","fern_20131017110759","16ff0f0a-47c7-11e3-a402-0026b9326338"
"faces","structure","0","fern_20131017110759","16ff41b4-47c7-11e3-a402-0026b9326338"
"fissures","structure","0","fern_20131017110759","16ff7bd4-47c7-11e3-a402-0026b9326338"
"flap","structure","0","fern_20131017110759","16ff9e66-47c7-11e3-a402-0026b9326338"
"flaps","structure","0","fern_20131017110759","16ffc22e-47c7-11e3-a402-0026b9326338"
"fork","structure","0","fern_20131017110759","16ffe4ac-47c7-11e3-a402-0026b9326338"
"forks","structure","0","fern_20131017110759","17000860-47c7-11e3-a402-0026b9326338"
"fronds","structure","0","fern_20131017110759","17002e44-47c7-11e3-a402-0026b9326338"
"gametophytes","structure","0","fern_20131017110759","17005f7c-47c7-11e3-a402-0026b9326338"
"glands","structure","0","fern_20131017110759","1700856a-47c7-11e3-a402-0026b9326338"
"grooves","structure","0","fern_20131017110759","1700ac98-47c7-11e3-a402-0026b9326338"
"hairs","structure","0","fern_20131017110759","14818dcc-47c5-11e3-a402-0026b9326338"
"heads","structure","0","fern_20131017110759","1700d2b8-47c7-11e3-a402-0026b9326338"
"herb","structure","0","fern_20131017110759","1700f540-47c7-11e3-a402-0026b9326338"
"hydathodes","structure","0","fern_20131017110759","1701231c-47c7-11e3-a402-0026b9326338"
"internodes","structure","0","fern_20131017110759","17015008-47c7-11e3-a402-0026b9326338"
"involucres","structure","0","fern_20131017110759","17017f24-47c7-11e3-a402-0026b9326338"
"junction","structure","0","fern_20131017110759","1701a7ce-47c7-11e3-a402-0026b9326338"
"junctions","structure","0","fern_20131017110759","1701d24e-47c7-11e3-a402-0026b9326338"
"laminas","structure","0","fern_20131017110759","1701f9cc-47c7-11e3-a402-0026b9326338"
"leaflets","structure","0","fern_20131017110759","148271b0-47c5-11e3-a402-0026b9326338"
"lines","structure","0","fern_20131017110759","1702205a-47c7-11e3-a402-0026b9326338"
"lips","structure","0","fern_20131017110759","170242f6-47c7-11e3-a402-0026b9326338"
"lobes","structure","0","fern_20131017110759","170266dc-47c7-11e3-a402-0026b9326338"
"lobules","structure","0","fern_20131017110759","17028e5a-47c7-11e3-a402-0026b9326338"
"margins","structure","0","fern_20131017110759","1482a7f2-47c5-11e3-a402-0026b9326338"
"mass","structure","0","fern_20131017110759","1702b380-47c7-11e3-a402-0026b9326338"
"mat","structure","0","fern_20131017110759","1702d478-47c7-11e3-a402-0026b9326338"
"mats","structure","0","fern_20131017110759","1702f71e-47c7-11e3-a402-0026b9326338"
"megaspores","structure","0","fern_20131017110759","170323d8-47c7-11e3-a402-0026b9326338"
"megasporocarps","structure","0","fern_20131017110759","17035632-47c7-11e3-a402-0026b9326338"
"membranes","structure","0","fern_20131017110759","170380a8-47c7-11e3-a402-0026b9326338"
"meristeles","structure","0","fern_20131017110759","1703accc-47c7-11e3-a402-0026b9326338"
"meshes","structure","0","fern_20131017110759","1703d2e2-47c7-11e3-a402-0026b9326338"
"microspores","structure","0","fern_20131017110759","170400b4-47c7-11e3-a402-0026b9326338"
"midribs","structure","0","fern_20131017110759","17042990-47c7-11e3-a402-0026b9326338"
"mouth","structure","0","fern_20131017110759","17044df8-47c7-11e3-a402-0026b9326338"
"nectaries","structure","0","fern_20131017110759","1704785a-47c7-11e3-a402-0026b9326338"
"north","structure","0","fern_20131017110759","17049c72-47c7-11e3-a402-0026b9326338"
"ornamentation","structure","0","fern_20131017110759","1704cd14-47c7-11e3-a402-0026b9326338"
"patches","structure","0","fern_20131017110759","1704f46a-47c7-11e3-a402-0026b9326338"
"perennial","structure","0","fern_20131017110759","17051f1c-47c7-11e3-a402-0026b9326338"
"perine","structure","0","fern_20131017110759","17054546-47c7-11e3-a402-0026b9326338"
"perispore","structure","0","fern_20131017110759","17056fda-47c7-11e3-a402-0026b9326338"
"perispores","structure","0","fern_20131017110759","17059c8a-47c7-11e3-a402-0026b9326338"
"pinna_segments","structure","0","fern_20131017110759","1705cee4-47c7-11e3-a402-0026b9326338"
"pinna_sinuses","structure","0","fern_20131017110759","1705ffb8-47c7-11e3-a402-0026b9326338"
"pinnules","structure","0","fern_20131017110759","17062876-47c7-11e3-a402-0026b9326338"
"plant","structure","0","fern_20131017110759","148417e0-47c5-11e3-a402-0026b9326338"
"pneumathodes","structure","0","fern_20131017110759","17065a62-47c7-11e3-a402-0026b9326338"
"point","structure","0","fern_20131017110759","17067eb6-47c7-11e3-a402-0026b9326338"
"rachises","structure","0","fern_20131017110759","1706a738-47c7-11e3-a402-0026b9326338"
"receptacles","structure","0","fern_20131017110759","1706d4ec-47c7-11e3-a402-0026b9326338"
"rhizomes","structure","0","fern_20131017110759","1706fd64-47c7-11e3-a402-0026b9326338"
"ridges","structure","0","fern_20131017110759","170723a2-47c7-11e3-a402-0026b9326338"
"roots","structure","0","fern_20131017110759","170747a6-47c7-11e3-a402-0026b9326338"
"scales","structure","0","fern_20131017110759","17076dd0-47c7-11e3-a402-0026b9326338"
"scars","structure","0","fern_20131017110759","1707921a-47c7-11e3-a402-0026b9326338"
"segments","structure","0","fern_20131017110759","1707baba-47c7-11e3-a402-0026b9326338"
"spines","structure","0","fern_20131017110759","1486337c-47c5-11e3-a402-0026b9326338"
"spores","structure","0","fern_20131017110759","1707e38c-47c7-11e3-a402-0026b9326338"
"sporocarps","structure","0","fern_20131017110759","17080ff6-47c7-11e3-a402-0026b9326338"
"stalks","structure","0","fern_20131017110759","1708374c-47c7-11e3-a402-0026b9326338"
"stands","structure","0","fern_20131017110759","17085d80-47c7-11e3-a402-0026b9326338"
"stele","structure","0","fern_20131017110759","170881c0-47c7-11e3-a402-0026b9326338"
"stipes","structure","0","fern_20131017110759","1708a88a-47c7-11e3-a402-0026b9326338"
"stolons","structure","0","fern_20131017110759","1708cfd6-47c7-11e3-a402-0026b9326338"
"stripe","structure","0","fern_20131017110759","1708f614-47c7-11e3-a402-0026b9326338"
"tiers","structure","0","fern_20131017110759","170919be-47c7-11e3-a402-0026b9326338"
"tips","structure","0","fern_20131017110759","14875e64-47c5-11e3-a402-0026b9326338"
"trunks","structure","0","fern_20131017110759","170941d2-47c7-11e3-a402-0026b9326338"
"tube","structure","0","fern_20131017110759","17096400-47c7-11e3-a402-0026b9326338"
"underside","structure","0","fern_20131017110759","17098dcc-47c7-11e3-a402-0026b9326338"
"undersides","structure","0","fern_20131017110759","1709b98c-47c7-11e3-a402-0026b9326338"
"undersurface","structure","0","fern_20131017110759","14879f32-47c5-11e3-a402-0026b9326338"
"undersurfaces","structure","0","fern_20131017110759","1709ecea-47c7-11e3-a402-0026b9326338"
"veinlets","structure","0","fern_20131017110759","170a14f4-47c7-11e3-a402-0026b9326338"
"veins","structure","0","fern_20131017110759","1487d088-47c5-11e3-a402-0026b9326338"
"walls","structure","0","fern_20131017110759","170a3c40-47c7-11e3-a402-0026b9326338"
"wings","structure","0","fern_20131017110759","170a601c-47c7-11e3-a402-0026b9326338"
"stipe_rachis_rachilla","structure","0","fern_20131017110759","170a9c08-47c7-11e3-a402-0026b9326338"
"cuneate","architecture","0","fern_20131017110759","170ac250-47c7-11e3-a402-0026b9326338"
"covered","condition","0","fern_20131017110759","170ae8ac-47c7-11e3-a402-0026b9326338"
"absorbent","condition","0","fern_20131017110759","170b11a6-47c7-11e3-a402-0026b9326338"
"five","count","0","fern_20131017110759","170b33b6-47c7-11e3-a402-0026b9326338"
"seven","count","0","fern_20131017110759","170b5742-47c7-11e3-a402-0026b9326338"
"three","count","0","fern_20131017110759","170b7a60-47c7-11e3-a402-0026b9326338"
"two","count","0","fern_20131017110759","170b9a7c-47c7-11e3-a402-0026b9326338"
"harsh","external_texture","0","fern_20131017110759","170bbe80-47c7-11e3-a402-0026b9326338"
"soft","external_texture","0","fern_20131017110759","333b1012-cc4c-468c-81ec-e63af2c45238"
"epiphytic","habit","0","fern_20131017110759","426c419d-be06-4736-bb96-df0ee83d55e0"
"lithophytic","habit","0","fern_20131017110759","170bfa3a-47c7-11e3-a402-0026b9326338"
"terrestrial","habit","0","fern_20131017110759","140d2888-d095-4213-a6bb-fa67ada9f06e"
"monsoonal","location","0","fern_20131017110759","170c2636-47c7-11e3-a402-0026b9326338"
"pantropical","location","0","fern_20131017110759","170c5368-47c7-11e3-a402-0026b9326338"
"south_east","location","0","fern_20131017110759","170c7f0a-47c7-11e3-a402-0026b9326338"
"south","location","0","fern_20131017110759","170ca2a0-47c7-11e3-a402-0026b9326338"
"south_west","location","0","fern_20131017110759","170cce38-47c7-11e3-a402-0026b9326338"
"tropical","location","0","fern_20131017110759","170cf5ac-47c7-11e3-a402-0026b9326338"
"wet_tropical","location","0","fern_20131017110759","170d23ba-47c7-11e3-a402-0026b9326338"
"warm_temperate","location","0","fern_20131017110759","170d5d80-47c7-11e3-a402-0026b9326338"
"subtropical","location","0","fern_20131017110759","170d8abc-47c7-11e3-a402-0026b9326338"
"satiny","reflectance","0","fern_20131017110759","170db05a-47c7-11e3-a402-0026b9326338"
"cupular","shape","0","fern_20131017110759","170dd68e-47c7-11e3-a402-0026b9326338"
"half_cup_shaped","shape","0","fern_20131017110759","170e0938-47c7-11e3-a402-0026b9326338"
"obconic","shape","0","fern_20131017110759","b262b687-1c4a-45fb-83f7-a366c186c90f"
"quadrate","shape","0","fern_20131017110759","170e4d08-47c7-11e3-a402-0026b9326338"
"subtrapeziform","shape","0","fern_20131017110759","170e7ec2-47c7-11e3-a402-0026b9326338"
"pouch","shape","0","fern_20131017110759","170ea26c-47c7-11e3-a402-0026b9326338"
"alluvial","habitat","0","fern_20131017110759","170eca30-47c7-11e3-a402-0026b9326338"
"brackish","habitat","0","fern_20131017110759","170ef1b8-47c7-11e3-a402-0026b9326338"
"granitic","habitat","0","fern_20131017110759","170f19a4-47c7-11e3-a402-0026b9326338"
"grassy","habitat","0","fern_20131017110759","170f3f2e-47c7-11e3-a402-0026b9326338"
"swampy","habitat","0","fern_20131017110759","170f64ae-47c7-11e3-a402-0026b9326338"
"wet","habitat","0","fern_20131017110759","170f84a2-47c7-11e3-a402-0026b9326338"
"wetter","habitat","0","fern_20131017110759","170fa9d2-47c7-11e3-a402-0026b9326338"
"exposed","habitat","0","fern_20131017110759","170fd02e-47c7-11e3-a402-0026b9326338"
"submerged","habitat","0","fern_20131017110759","170ff9a0-47c7-11e3-a402-0026b9326338"
