#Version: 
#Glossary type: Plant
#Source: gg_noschema_20131029111451
#Finalized by: Hong Cui
#Date: 
#Reviewers: Hong Cui
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID"
"lilac","coloration","0","gg_noschema_20131029111451","ed16c36a-5b8d-11e3-9a7c-0026b9326338"
"azonate","coloration","0","gg_noschema_20131029111451","ed16eeee-5b8d-11e3-9a7c-0026b9326338"
"inamyloid","shape","0","gg_noschema_20131029111451","ed171c20-5b8d-11e3-9a7c-0026b9326338"
"isolated","arrangement","0","gg_noschema_20131029111451","ed174754-5b8d-11e3-9a7c-0026b9326338"
"ochraceous","coloration","0","gg_noschema_20131029111451","ed17762a-5b8d-11e3-9a7c-0026b9326338"
"smell","character","0","gg_noschema_20131029111451","ed179f92-5b8d-11e3-9a7c-0026b9326338"
"subclavate","shape","0","gg_noschema_20131029111451","ed17cec2-5b8d-11e3-9a7c-0026b9326338"
"taste","character","0","gg_noschema_20131029111451","ed17f4ba-5b8d-11e3-9a7c-0026b9326338"
"zonate","coloration","0","gg_noschema_20131029111451","ed181d8c-5b8d-11e3-9a7c-0026b9326338"
"basidia","structure","0","gg_noschema_20131029111451","ed18469a-5b8d-11e3-9a7c-0026b9326338"
"basidium","structure","0","gg_noschema_20131029111451","ed187188-5b8d-11e3-9a7c-0026b9326338"
"cap","structure","0","gg_noschema_20131029111451","ed1894e2-5b8d-11e3-9a7c-0026b9326338"
"cedar","structure","0","gg_noschema_20131029111451","ed18bb48-5b8d-11e3-9a7c-0026b9326338"
"centre","structure","0","gg_noschema_20131029111451","ed18e38e-5b8d-11e3-9a7c-0026b9326338"
"cheilomacrocystidia","structure","0","gg_noschema_20131029111451","ed1920ec-5b8d-11e3-9a7c-0026b9326338"
"cheilomacrocystidium","structure","0","gg_noschema_20131029111451","ed19605c-5b8d-11e3-9a7c-0026b9326338"
"chrome","structure","0","gg_noschema_20131029111451","ed1988fc-5b8d-11e3-9a7c-0026b9326338"
"deposit","structure","0","gg_noschema_20131029111451","ed19b3c2-5b8d-11e3-9a7c-0026b9326338"
"edge","structure","0","gg_noschema_20131029111451","16fd8180-47c7-11e3-a402-0026b9326338"
"gill","structure","0","gg_noschema_20131029111451","ed19dbea-5b8d-11e3-9a7c-0026b9326338"
"gills","structure","0","gg_noschema_20131029111451","ed1a028c-5b8d-11e3-9a7c-0026b9326338"
"hairs","structure","0","gg_noschema_20131029111451","14818dcc-47c5-11e3-a402-0026b9326338"
"hypha","structure","0","gg_noschema_20131029111451","ed1a2b68-5b8d-11e3-9a7c-0026b9326338"
"hyphae","structure","0","gg_noschema_20131029111451","ed1a53ea-5b8d-11e3-9a7c-0026b9326338"
"incrustations","structure","0","gg_noschema_20131029111451","ed1a8806-5b8d-11e3-9a7c-0026b9326338"
"ixocutis","structure","0","gg_noschema_20131029111451","ed1ab3c6-5b8d-11e3-9a7c-0026b9326338"
"ornamentation","structure","0","gg_noschema_20131029111451","1704cd14-47c7-11e3-a402-0026b9326338"
"paracystidia","structure","0","gg_noschema_20131029111451","ed1aeb48-5b8d-11e3-9a7c-0026b9326338"
"paracystidium","structure","0","gg_noschema_20131029111451","ed1b21da-5b8d-11e3-9a7c-0026b9326338"
"pileipelli","structure","0","gg_noschema_20131029111451","ed1b5196-5b8d-11e3-9a7c-0026b9326338"
"pileipellis","structure","0","gg_noschema_20131029111451","ed1b82c4-5b8d-11e3-9a7c-0026b9326338"
"plage","structure","0","gg_noschema_20131029111451","ed1ba9d4-5b8d-11e3-9a7c-0026b9326338"
"pleuromacrocystidia","structure","0","gg_noschema_20131029111451","ed1be7c8-5b8d-11e3-9a7c-0026b9326338"
"pleuromacrocystidium","structure","0","gg_noschema_20131029111451","ed1c2710-5b8d-11e3-9a7c-0026b9326338"
"reticulum","structure","0","gg_noschema_20131029111451","ed1c53e8-5b8d-11e3-9a7c-0026b9326338"
"ridges","structure","0","gg_noschema_20131029111451","170723a2-47c7-11e3-a402-0026b9326338"
"spores","structure","0","gg_noschema_20131029111451","1707e38c-47c7-11e3-a402-0026b9326338"
"spots","structure","0","gg_noschema_20131029111451","ed1c82b4-5b8d-11e3-9a7c-0026b9326338"
"wart","structure","0","gg_noschema_20131029111451","ed1ca8b6-5b8d-11e3-9a7c-0026b9326338"
"warts","structure","0","gg_noschema_20131029111451","ed1ccf6c-5b8d-11e3-9a7c-0026b9326338"
"warm","coloration","0","gg_noschema_20131029111451","ed1cf442-5b8d-11e3-9a7c-0026b9326338"
"shrivelled","external_texture","0","gg_noschema_20131029111451","ed1d23a4-5b8d-11e3-9a7c-0026b9326338"
"sweetish","odor","0","gg_noschema_20131029111451","ed1d4f32-5b8d-11e3-9a7c-0026b9326338"
"milk","structure","0","gg_noschema_20131029111451","ed1d743a-5b8d-11e3-9a7c-0026b9326338"
"ixotrichoderm","structure","0","gg_noschema_20131029111451","ed1da86a-5b8d-11e3-9a7c-0026b9326338"
"mild","taste","0","gg_noschema_20131029111451","ed1dcd72-5b8d-11e3-9a7c-0026b9326338"
