#Version: 
#Glossary type: Plant
#Source: proibio_m33_20140119065035
#Finalized by: Hong Cui
#Date: 
#Reviewers: Hong Cui,Jozsef Geml,OTO System
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID"
"antemarginal","structure","0","proibio_m33_20140119065035","69f19500-9a76-11e3-b592-0026b9326338"
"anteterminal","structure","0","proibio_m33_20140119065035","69f1eae6-9a76-11e3-b592-0026b9326338"
"apiculus","structure","0","proibio_m33_20140119065035","91ab1c1c-668a-11e3-af11-0026b9326338"
"appendices","structure","0","proibio_m33_20140119065035","69f25b20-9a76-11e3-b592-0026b9326338"
"appendix","structure","0","proibio_m33_20140119065035","69f2a062-9a76-11e3-b592-0026b9326338"
"area","structure","0","proibio_m33_20140119065035","69f2d884-9a76-11e3-b592-0026b9326338"
"areas","structure","0","proibio_m33_20140119065035","69f3138a-9a76-11e3-b592-0026b9326338"
"background","structure","0","proibio_m33_20140119065035","69f35bba-9a76-11e3-b592-0026b9326338"
"backgrounds","structure","0","proibio_m33_20140119065035","69f3a6c4-9a76-11e3-b592-0026b9326338"
"band","structure","0","proibio_m33_20140119065035","91ac1e32-668a-11e3-af11-0026b9326338"
"bands","structure","0","proibio_m33_20140119065035","69f3fd9a-9a76-11e3-b592-0026b9326338"
"basidioles","structure","0","proibio_m33_20140119065035","69f44962-9a76-11e3-b592-0026b9326338"
"basidiomata","structure","0","proibio_m33_20140119065035","69f498a4-9a76-11e3-b592-0026b9326338"
"basidiome","structure","0","proibio_m33_20140119065035","69f4ce32-9a76-11e3-b592-0026b9326338"
"basidiomes","structure","0","proibio_m33_20140119065035","69f501e0-9a76-11e3-b592-0026b9326338"
"belt","structure","0","proibio_m33_20140119065035","69f52b16-9a76-11e3-b592-0026b9326338"
"belts","structure","0","proibio_m33_20140119065035","69f5544c-9a76-11e3-b592-0026b9326338"
"bracelet","structure","0","proibio_m33_20140119065035","69f5852a-9a76-11e3-b592-0026b9326338"
"bunches","structure","0","proibio_m33_20140119065035","69f5b450-9a76-11e3-b592-0026b9326338"
"cells","structure","0","proibio_m33_20140119065035","147fe7c4-47c5-11e3-a402-0026b9326338"
"cheilocystidia","structure","0","proibio_m33_20140119065035","69f5f0be-9a76-11e3-b592-0026b9326338"
"cheilocystidium","structure","0","proibio_m33_20140119065035","69f62d90-9a76-11e3-b592-0026b9326338"
"chords","structure","0","proibio_m33_20140119065035","69f65964-9a76-11e3-b592-0026b9326338"
"clamp","structure","0","proibio_m33_20140119065035","69f682f4-9a76-11e3-b592-0026b9326338"
"clamps","structure","0","proibio_m33_20140119065035","69f6b076-9a76-11e3-b592-0026b9326338"
"constriction","structure","0","proibio_m33_20140119065035","69f6e780-9a76-11e3-b592-0026b9326338"
"constrictions","structure","0","proibio_m33_20140119065035","69f72038-9a76-11e3-b592-0026b9326338"
