#Version: 
#Glossary type: Plant
#Source: stelis_20131216130033
#Finalized by: Jing Liu
#Date: 
#Reviewers: Hong Cui,Lorena  Endara
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID"
"large","size","0","stelis_20131216130033","8b6434c4-5e6e-4e32-ba3e-edd7174f0b6b"
"medium","size","0","stelis_20131216130033","91bc6030-668a-11e3-af11-0026b9326338"
"apparatus","structure","0","stelis_20131216130033","e9c469bc-66ad-11e3-af11-0026b9326338"
"appendages","structure","0","stelis_20131216130033","91ab647e-668a-11e3-af11-0026b9326338"
"arms","structure","0","stelis_20131216130033","e9c4c5b0-66ad-11e3-af11-0026b9326338"
"bases","structure","0","stelis_20131216130033","147eff9e-47c5-11e3-a402-0026b9326338"
"body","structure","0","stelis_20131216130033","16f9bec4-47c7-11e3-a402-0026b9326338"
"bracts","structure","0","stelis_20131216130033","e9c50a66-66ad-11e3-af11-0026b9326338"
"capsules","structure","0","stelis_20131216130033","e9c55048-66ad-11e3-af11-0026b9326338"
"cavity","structure","0","stelis_20131216130033","91ae07a6-668a-11e3-af11-0026b9326338"
"cells","structure","0","stelis_20131216130033","147fe7c4-47c5-11e3-a402-0026b9326338"
"column_foot","structure","0","stelis_20131216130033","e9c5bb3c-66ad-11e3-af11-0026b9326338"
"crystals","structure","0","stelis_20131216130033","e9c5fce6-66ad-11e3-af11-0026b9326338"
"cunea","structure","0","stelis_20131216130033","e9c6371a-66ad-11e3-af11-0026b9326338"
"cuneale","structure","0","stelis_20131216130033","e9c676d0-66ad-11e3-af11-0026b9326338"
"cup","structure","0","stelis_20131216130033","91b08db4-668a-11e3-af11-0026b9326338"
"dorsum","structure","0","stelis_20131216130033","e9c6cde2-66ad-11e3-af11-0026b9326338"
"edge","structure","0","stelis_20131216130033","16fd8180-47c7-11e3-a402-0026b9326338"
"edges","structure","0","stelis_20131216130033","1480bb5e-47c5-11e3-a402-0026b9326338"
"end","structure","0","stelis_20131216130033","91b0c3a6-668a-11e3-af11-0026b9326338"
"ends","structure","0","stelis_20131216130033","1480ec1e-47c5-11e3-a402-0026b9326338"
"flap","structure","0","stelis_20131216130033","16ff9e66-47c7-11e3-a402-0026b9326338"
"flowers","structure","0","stelis_20131216130033","e9c7366a-66ad-11e3-af11-0026b9326338"
