#Version: 
#Glossary type: Fossil
#Source: treatise
#Finalized by: Fengqiong Huang
#Date: 
#Reviewers: treatise  ,Mohan Krishna Gowda,Fengqiong Huang,Fengqiong2 Huang2,Sonali Ranade
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID"
"large","size","0","treatise","5d5787e0-f86d-11e2-af0f-00266c1d496f"
"small","size","0","treatise","5d5677d8-f86d-11e2-af0f-00266c1d496f"
"prolate","shape","0","treatise","5d5857c8-f86d-11e2-af0f-00266c1d496f"
"spheroidal","shape","0","treatise","5d58584c-f86d-11e2-af0f-00266c1d496f"
"divided","shape","0","treatise","5d5858f3-f86d-11e2-af0f-00266c1d496f"
"swollen","shape","0","treatise","5d585980-f86d-11e2-af0f-00266c1d496f"
"wavy","shape","0","treatise","5d585a09-f86d-11e2-af0f-00266c1d496f"
"oblate","shape","0","treatise","5d585a89-f86d-11e2-af0f-00266c1d496f"
"subglobular","shape","0","treatise","5d585b12-f86d-11e2-af0f-00266c1d496f"
"ellipsoidal","shape","0","treatise","5d585b9b-f86d-11e2-af0f-00266c1d496f"
"ovoid","shape","0","treatise","5d585c24-f86d-11e2-af0f-00266c1d496f"
"ellipsoid","shape","0","treatise","5d585cbe-f86d-11e2-af0f-00266c1d496f"
"pyriform","shape","0","treatise","5d585d4b-f86d-11e2-af0f-00266c1d496f"
"dextrally","position","0","treatise","5d585dcf-f86d-11e2-af0f-00266c1d496f"
"coronula","structure","0","treatise","5d585e58-f86d-11e2-af0f-00266c1d496f"
"utricles","structure","0","treatise","5d585edd-f86d-11e2-af0f-00266c1d496f"
"external","position","0","treatise","5d585f66-f86d-11e2-af0f-00266c1d496f"
"opercular","structure","0","treatise","5d586795-f86d-11e2-af0f-00266c1d496f"
"bottle","shape","0","treatise","5d586880-f86d-11e2-af0f-00266c1d496f"
"higher","height","0","treatise","5d586985-f86d-11e2-af0f-00266c1d496f"
"point","structure","0","treatise","5d586a23-f86d-11e2-af0f-00266c1d496f"
"subovoidal","shape","0","treatise","5d586ab0-f86d-11e2-af0f-00266c1d496f"
"widening","width","0","treatise","5d586b39-f86d-11e2-af0f-00266c1d496f"
"algal","structure","0","treatise","5d586bbe-f86d-11e2-af0f-00266c1d496f"
"bulbiform","shape","0","treatise","5d586c47-f86d-11e2-af0f-00266c1d496f"
"cuneiform","shape","0","treatise","5d586cd0-f86d-11e2-af0f-00266c1d496f"
"ovoidal","shape","0","treatise","5d588ebd-f86d-11e2-af0f-00266c1d496f"
"pear","shape","0","treatise","5d588fb9-f86d-11e2-af0f-00266c1d496f"
"polar","position","0","treatise","5d589082-f86d-11e2-af0f-00266c1d496f"
"significant","prominence","0","treatise","5d589129-f86d-11e2-af0f-00266c1d496f"
"stellatiform","shape","0","treatise","5d5891b6-f86d-11e2-af0f-00266c1d496f"
"suboblate","shape","0","treatise","5d589243-f86d-11e2-af0f-00266c1d496f"
"subovoid","shape","0","treatise","5d5892d0-f86d-11e2-af0f-00266c1d496f"
"ten","count","0","treatise","5d58935d-f86d-11e2-af0f-00266c1d496f"
"angles","structure","0","treatise","5d589473-f86d-11e2-af0f-00266c1d496f"
"aperture","structure","0","treatise","5d57d00a-f86d-11e2-af0f-00266c1d496f"
"apertures","structure","0","treatise","5d5895b0-f86d-11e2-af0f-00266c1d496f"
"apparatus","structure","0","treatise","5d589641-f86d-11e2-af0f-00266c1d496f"
"area","structure","1","treatise","5d57d08e-f86d-11e2-af0f-00266c1d496f"
"bases","structure","0","treatise","5d57d422-f86d-11e2-af0f-00266c1d496f"
"branches","structure","0","treatise","5d57d641-f86d-11e2-af0f-00266c1d496f"
"branchlets","structure","0","treatise","5d589757-f86d-11e2-af0f-00266c1d496f"
"canal","structure","0","treatise","5d5897e0-f86d-11e2-af0f-00266c1d496f"
"canals","structure","0","treatise","5d589871-f86d-11e2-af0f-00266c1d496f"
"cap","structure","0","treatise","5d589958-f86d-11e2-af0f-00266c1d496f"
"cells","structure","0","treatise","5d5899f2-f86d-11e2-af0f-00266c1d496f"
"constrictions","structure","0","treatise","5d589a7f-f86d-11e2-af0f-00266c1d496f"
"convolution","structure","0","treatise","5d589b04-f86d-11e2-af0f-00266c1d496f"
"convolutions","structure","0","treatise","5d589b8d-f86d-11e2-af0f-00266c1d496f"
"cortex","structure","0","treatise","5d589c16-f86d-11e2-af0f-00266c1d496f"
"cover","structure","0","treatise","5d589c9e-f86d-11e2-af0f-00266c1d496f"
"crests","structure","0","treatise","5d589d27-f86d-11e2-af0f-00266c1d496f"
"decorations","structure","0","treatise","5d589db0-f86d-11e2-af0f-00266c1d496f"
"denticles","structure","0","treatise","5d57d857-f86d-11e2-af0f-00266c1d496f"
"depression","structure","0","treatise","5d57d8dc-f86d-11e2-af0f-00266c1d496f"
"end","structure","0","treatise","5d57a985-f86d-11e2-af0f-00266c1d496f"
"ending","structure","0","treatise","5d589ec2-f86d-11e2-af0f-00266c1d496f"
"endings","structure","0","treatise","5d589f46-f86d-11e2-af0f-00266c1d496f"
